0,悪魔,レア,Grade,種族,タイプ,img
60,象頭神,4,66,妖魔,攻撃,https://i.imgur.com/fqwOhmA.jpg
61,恰古林,1,4,妖獣,サポート,https://i.imgur.com/BwAYiM3.jpg
62,雙角獸,1,9,妖獣,攻撃,https://i.imgur.com/mfIdRv7.jpg
63,雷獸,2,20,妖獣,サポート,https://i.imgur.com/gxV9yxW.jpg
64,鵺,2,25,妖獣,攻撃,https://i.imgur.com/GzHr5jV.jpg
65,天蛾人,3,41,妖獣,サポート,https://i.imgur.com/4Bdlzdj.jpg
66,皮亞雷,3,46,妖獣,サポート,https://i.imgur.com/gqpZtUz.jpg
67,芬里爾,4,61,妖獣,サポート,https://i.imgur.com/4Vpds1n.jpg
68,亞布拉薩,2,26,邪神,サポート,https://i.imgur.com/M1hxSo9.jpg
69,巴風特,3,41,邪神,攻撃,https://i.imgur.com/7XNRS53.jpg
70,荒霸吐,3,50,邪神,攻撃,https://i.imgur.com/hpe9kSb.jpg
71,帕祖祖,4,62,邪神,回復,https://i.imgur.com/o7raDd4.jpg
72,獨眼魔象,4,67,邪神,攻撃,https://i.imgur.com/1jmreVo.jpg
73,賽特,5,84,邪神,攻撃,https://i.imgur.com/oJBNQez.jpg
74,惡靈,1,5,夜魔,攻撃,https://i.imgur.com/NiZMkYo.jpg
75,睡魔,1,10,夜魔,攻撃,https://i.imgur.com/R5NgyRI.jpg
76,男夢魔,2,21,夜魔,サポート,https://i.imgur.com/l3c3dgZ.jpg
77,弗莫爾,2,30,夜魔,攻撃,https://i.imgur.com/gD0h3yP.jpg
78,迦溫,3,42,夜魔,攻撃,https://i.imgur.com/IQxIKHw.jpg
79,莉莉姆,3,47,夜魔,サポート,https://i.imgur.com/3tbEr5m.jpg
80,女夢魔,4,63,夜魔,サポート,https://i.imgur.com/WnOIxV9.jpg
81,莉莉絲,5,80,夜魔,サポート,https://i.imgur.com/NjrB5QO.jpg
82,啃咬魔,2,25,怪異,サポート,https://i.imgur.com/IyLih8C.jpg
83,惡鬼,1,4,幽鬼,攻撃,https://i.imgur.com/aXfVT2P.jpg
84,背負小鬼,1,7,幽鬼,回復,https://i.imgur.com/H6YwcN1.jpg
85,魍魎,2,20,幽鬼,攻撃,https://i.imgur.com/AsgdCjh.jpg
86,畢舍遮,2,26,幽鬼,サポート,https://i.imgur.com/BCiG9FX.jpg
87,惡靈軍團,2,34,幽鬼,攻撃,https://i.imgur.com/VYOtukv.jpg
88,笑面骷髏,3,44,幽鬼,サポート,https://i.imgur.com/UsGs3kp.jpg
89,毘陀羅,3,55,幽鬼,攻撃,https://i.imgur.com/1XpP273.jpg
90,卓柏卡布拉,1,15,珍獣,攻撃,https://i.imgur.com/t4BHceN.jpg
91,因幡白兔,3,41,珍獣,回復,https://i.imgur.com/Thw21pd.jpg
92,齊格飛,5,83,英雄,攻撃,https://i.imgur.com/cXylxCJ.jpg
93,義經,5,97,英雄,攻撃,https://i.imgur.com/N75fJA4.jpg
94,阿瑞斯,3,44,破壊神,攻撃,https://i.imgur.com/2h4eWRv.jpg
95,齊天大聖,4,61,破壊神,攻撃,https://i.imgur.com/t568MRC.jpg
96,北斗星君,4,69,破壊神,攻撃,https://i.imgur.com/NDwTEqj.jpg
97,素盞鳴尊,5,82,破壊神,攻撃,https://i.imgur.com/Jix5VvP.jpg
98,濕婆,5,93,破壊神,攻撃,https://i.imgur.com/MGej7q9.jpg
99,獅爺,2,33,神獣,サポート,https://i.imgur.com/UajtCFZ.jpg
100,真神,3,41,神獣,回復,https://i.imgur.com/nKB1Oqf.jpg
101,奇美拉,3,49,神獣,攻撃,https://i.imgur.com/GkGDGZh.jpg
102,阿努比斯,4,70,神獣,攻撃,https://i.imgur.com/4DlSX1p.jpg
103,巴隆,5,84,神獣,サポート,https://i.imgur.com/bkCFuwc.jpg
104,加牟波理,2,30,秘神,攻撃,https://i.imgur.com/aWje9z9.jpg
105,君真物,3,55,秘神,サポート,https://i.imgur.com/ovHJVM0.jpg
106,伽摩,4,75,秘神,サポート,https://i.imgur.com/ESYxOOW.jpg
107,菈南希,1,12,鬼女,回復,https://i.imgur.com/JpgLPIF.jpg
108,黃泉醜女,2,23,鬼女,サポート,https://i.imgur.com/5Fbm90N.jpg
109,夜叉女,2,34,鬼女,攻撃,https://i.imgur.com/d1ZLo6V.jpg
110,美人魚,3,42,鬼女,回復,https://i.imgur.com/ujFfpdo.jpg
111,荼吉尼,3,53,鬼女,攻撃,https://i.imgur.com/Rnuejzp.jpg
112,讓特,4,67,鬼女,攻撃,https://i.imgur.com/tACjcur.jpg
113,建御名方,2,27,鬼神,攻撃,https://i.imgur.com/PIX1HXe.jpg
114,增長天,3,41,鬼神,攻撃,https://i.imgur.com/IuNShfK.jpg
115,廣目天,3,50,鬼神,攻撃,https://i.imgur.com/pTm2Ur7.jpg
116,持國天,4,62,鬼神,攻撃,https://i.imgur.com/wDLWuEq.jpg
117,毘沙門天,4,70,鬼神,攻撃,https://i.imgur.com/qToa6aB.jpg
118,鐘馗,4,75,鬼神,攻撃,https://i.imgur.com/RweGnC3.jpg
119,索爾,5,83,鬼神,攻撃,https://i.imgur.com/Y24aR1K.jpg
120,海奎特,2,27,聖獣,回復,https://i.imgur.com/rOenswR.jpg
121,獨角獸,3,42,聖獣,回復,https://i.imgur.com/32j3Tx5.jpg
122,阿庇斯,3,44,聖獣,サポート,https://i.imgur.com/qDs5fT0.jpg
123,白虎,3,48,聖獣,攻撃,https://i.imgur.com/vbUYbva.jpg
124,八腳天馬,4,62,聖獣,攻撃,https://i.imgur.com/eWkZFmM.jpg
125,斯芬克斯,4,76,聖獣,サポート,https://i.imgur.com/7N2rlT1.jpg
126,野槌,1,15,龍王,攻撃,https://i.imgur.com/hVkoVzF.jpg
127,那迦,2,28,龍王,攻撃,https://i.imgur.com/H1BhIcb.jpg
128,玄武,3,45,龍王,攻撃,https://i.imgur.com/d5SM7ji.jpg
129,八歧大蛇,4,61,龍王,攻撃,https://i.imgur.com/9RqKHPo.jpg
130,虹蛇,4,70,龍王,サポート,https://i.imgur.com/KNtk6Wj.jpg
131,阿南塔,5,83,龍王,サポート,https://i.imgur.com/gA4Qdec.jpg
132,白騎士,4,74,魔人,攻撃,https://i.imgur.com/oFuTYpo.jpg
133,愛麗絲,5,89,魔人,攻撃,https://i.imgur.com/BI20IDO.jpg
134,吹號者,5,94,魔人,攻撃,https://i.imgur.com/eOFz4NA.jpg
135,奧迦斯,3,46,魔王,攻撃,https://i.imgur.com/1OEF0w1.jpg
136,阿巴頓,4,60,魔王,攻撃,https://i.imgur.com/zpYRGX8.jpg
137,別西卜,4,68,魔王,攻撃,https://i.imgur.com/0fm59BQ.jpg
138,洛基,4,75,魔王,攻撃,https://i.imgur.com/sFDnH9b.jpg
139,史爾特爾,5,83,魔王,攻撃,https://i.imgur.com/pbbEMSb.jpg
140,魔羅,5,90,魔王,攻撃,https://i.imgur.com/IygVwNy.jpg
141,路西法,5,98,魔王,攻撃,https://i.imgur.com/X7FhIs2.jpg
142,荷魯斯,3,49,魔神,回復,https://i.imgur.com/MRBXcPA.jpg
143,密特拉,3,55,魔神,サポート,https://i.imgur.com/zT0RMRO.jpg
144,普羅米修斯,4,67,魔神,攻撃,https://i.imgur.com/nZSN069.jpg
145,奧丁,4,73,魔神,攻撃,https://i.imgur.com/MywUoXp.jpg
146,天照,5,82,魔神,サポート,https://i.imgur.com/PDWHQDB.jpg
147,毘濕奴,5,97,魔神,攻撃,https://i.imgur.com/ddbPm0S.jpg
148,犬妖,1,3,魔獣,サポート,https://i.imgur.com/Usib1iY.jpg
149,犬神,1,9,魔獣,サポート,https://i.imgur.com/wX4SCDm.jpg
150,貓怪,1,14,魔獣,サポート,https://i.imgur.com/PIEPinp.jpg
151,雙頭犬,2,35,魔獣,攻撃,https://i.imgur.com/vLox9Qu.jpg
152,阿米特,3,44,魔獣,攻撃,https://i.imgur.com/TDwIIi6.jpg
153,地獄犬,4,61,魔獣,攻撃,https://i.imgur.com/VOQelze.jpg
154,梅爾克,1,4,堕天使,回復,https://i.imgur.com/Hqf4tPJ.jpg
155,埃力格,1,10,堕天使,攻撃,https://i.imgur.com/gLbgUIA.jpg
156,單卡拉比,2,23,堕天使,攻撃,https://i.imgur.com/9sMJCfL.jpg
157,佛鈕司,3,41,堕天使,サポート,https://i.imgur.com/fMtP1EB.jpg
158,歐賽,3,54,堕天使,攻撃,https://i.imgur.com/Zr9bRa6.jpg
159,但他林,4,70,堕天使,サポート,https://i.imgur.com/Ucx50hm.jpg
160,薩麥爾,5,84,堕天使,サポート,https://i.imgur.com/UQ2j6JP.jpg
